000000,Procurement and Contracting Requirements,,,,,,
,,,,,,000101,Project Title Page
,,,,,,000103,Project Directory
,,,,,,000105,Certifications Page
,,,,,,000107,Seals Page
,,,,,,000110,Table of Contents
,,,,,,000115,List of Drawing Sheets
,,,,,,000120,List of Schedules
,,001000,Solicitation,,,,
,,,,001100,Advertisements and Invitations,,
,,,,,,001113,Advertisement for Bids
,,,,,,001115,Advertisement for Prequalification of Bidders
,,,,,,001116,Invitation to Bid
,,,,,,001119,Request for Proposal
,,,,,,001153,Request for Qualifications
,,002000,Instructions for Procurement,,,,
,,,,002100,Instructions,,
,,,,,,002113,Instructions to Bidders
,,,,,,002116,Instructions to Proposers
,,,,002200,Supplementary Instructions,,
,,,,,,002213,Supplementary Instructions to Bidders
,,,,,,002216,Supplementary Instructions to Proposers
,,,,002300,Procurement Definitions,,
,,,,002400,Procurement Scopes,,
,,,,,,002413,Scopes of Bids
,,,,,,002413.13,Scopes of Bids (Multiple Contracts)
,,,,,,002413.16,Scopes of Bids (Multiple-Prime Contract)
,,,,,,002416,Scopes of Proposals
,,,,,,002416.13,Scopes of Proposals (Multiple Contracts)
,,,,,,002416.16,Scopes of Proposals (Multiple-Prime Contract)
,,,,002500,Procurement Meetings,,
,,,,,,002513,Pre-Bid Meetings
,,,,,,002516,Pre-Proposal Meetings
,,,,002600,Procurement Substitution Procedures,,
,,003000,Available Information,,,,
,,,,003100,Available Project Information,,
,,,,,,003113,Preliminary Schedules
,,,,,,003113.13,Preliminary Project Schedule
,,,,,,003113.16,Preliminary Construction Schedule
,,,,,,003113.23,Preliminary Project Phases
,,,,,,003113.26,Preliminary Project Sequencing
,,,,,,003113.33,Preliminary Project Milestones
,,,,,,003116,Project Budget Information
,,,,,,003119,Existing Condition Information
,,,,,,003119.13,Movement and Vibration Information
,,,,,,003119.16,Acoustic Information
,,,,,,003119.19,Traffic Information
,,,,,,003119.23,Existing Structural Information
,,,,,,003121,Survey Information
,,,,,,003121.13,Site Survey Information
,,,,,,003121.16,Measured Drawing Information
,,,,,,003121.19,Photographic Information
,,,,,,003124,Environmental Assessment Information
,,,,,,003124.13,Soil Contamination Report
,,,,,,003124.23,Environmental Impact Study Report
,,,,,,003124.26,Environmental Impact Report Evaluation
,,,,,,003124.29,Record of Environmental Impact Decision
,,,,,,003124.33,Environmental Impact Mitigation Report
,,,,,,003125,Existing Material Information
,,,,,,003125.16,Existing Concrete Information
,,,,,,003125.19,Existing Masonry Information
,,,,,,003125.23,Existing Metals Information
,,,,,,003125.26,"Existing Wood, Plastics, and Composites Information"
,,,,,,003125.29,Existing Thermal and Moisture Protection Information
,,,,,,003126,Existing Hazardous Material Information
,,,,,,003126.23,Existing Asbestos Information
,,,,,,003126.26,Existing Lead Information
,,,,,,003126.29,Existing Polychlorinate Biphenyl Information
,,,,,,003126.33,Existing Mold Information
,,,,,,003126.36,Existing Hazardous Waste Drum Information
,,,,,,003131,Geophysical Data
,,,,,,003131.13,Seismic Investigations Information
,,,,,,003131.16,Gravity Investigations Information
,,,,,,003131.19,Magnetic Investigations Information
,,,,,,003131.23,Electromagnetic Investigations Information
,,,,,,003131.26,Electrical Resistivity Investigations Information
,,,,,,003131.29,Magnetotelluric Investigations Information
,,,,,,003132,Geotechnical Data
,,,,,,003132.13,Subsurface Drilling and Sampling Information
,,,,,,003132.16,Material Testing Information
,,,,,,003132.19,Exploratory Excavation Information
